Amelanchier lamarckii;Amerikaans krentenboompje;27
Arum maculatum;Gevlekte aronskelk;27
Eleocharis palustris;Gewone waterbies;27
Ajuga reptans;Kruipend zenegroen;27
Carex disticha;Tweerijige zegge;27
Euonymus europaeus;Wilde kardinaalsmuts;27
Diplotaxis muralis;Kleine zandkool;27
Papaver argemone;Ruige klaproos;26
Convallaria majalis;Lelietje-van-dalen;26
Cynosurus cristatus;Kamgras;26
Hyacinthoides hispanica;Spaanse hyacint;26
Calluna vulgaris;Struikhei;26
Origanum vulgare;Wilde marjolein;26
Campanula rapunculus;Rapunzelklokje;26
Silene coronaria;Prikneus;26
Amaranthus retroflexus;Papegaaienkruid;26
Tilia platyphyllos;Zomerlinde;26
Ligustrum ovalifolium;Haagliguster;26
Amaranthus blitum;Kleine majer;25
Verbascum nigrum;Zwarte toorts;25
Pimpinella major;Grote bevernel;25
Pastinaca sativa;Pastinaak / Brandpastinaak;25
Echium vulgare;Slangenkruid;25
Myosotis sylvatica;Bosvergeet-mij-nietje;25
Malva moschata;Muskuskaasjeskruid;25
Acorus calamus;Kalmoes;25
Asparagus officinalis;Asperge / Liggende asperge;25
Equisetum fluviatile;Holpijp;24
Panicum miliaceum;Pluimgierst;24
Erigeron annuus;Zomerfijnstraal;24
Molinia caerulea;Pijpenstrootje;24
Arctium lappa;Grote klit;24
Cirsium oleraceum;Moesdistel;23
Myosotis ramosissima;Ruw vergeet-mij-nietje;23
Carex pseudocyperus;Hoge cyperzegge;23
Spergularia rubra;Rode schijnspurrie;23
Lonicera pileata;;23
Festuca filiformis;Fijn schapengras;23
Alcea rosea;Stokroos;23
Apera spica-venti;Grote windhalm;23
Ribes sanguineum;Rode ribes;22
Alopecurus myosuroides;Duist;22
Viola riviniana;Bleeksporig bosviooltje;22
Lemna minuta;Dwergkroos;22
Ranunculus flammula;Egelboterbloem;22
Cichorium intybus;Wilde cichorei;22
Valerianella locusta;Veldsla;22
Lobularia maritima;Zilverschildzaad;22
Portulaca oleracea;Postelein;22
Arum italicum;Italiaanse aronskelk;21
Cornus sericea;Canadese kornoelje;21
Geranium purpureum;Klein robertskruid;21
Veronica agrestis;Akkerereprijs;21
Hypericum tetrapterum;Gevleugeld hertshooi;21
Fumaria officinalis;Gewone duivenkervel;21
Centaurium erythraea;Echt duizendguldenkruid;21
Prunus laurocerasus;Laurierkers;20
Carex arenaria;Zandzegge;20
Geranium pyrenaicum;Bermooievaarsbek;20
Luzula multiflora;Veelbloemige veldbies;20
Vinca minor;Kleine maagdenpalm;20
Rhododendron ponticum;Pontische rododendron;20
Barbarea vulgaris;Gewoon barbarakruid;19
Rhus typhina;Azijnboom;19
Aphanes arvensis;Grote leeuwenklauw;19
Erigeron karvinskianus;Muurfijnstraal;19
Hieracium sabaudum;Boshavikskruid;19
Sisymbrium altissimum;Hongaarse raket;19
Setaria italica;Trosgierst;19
Agrimonia eupatoria;Gewone agrimonie;19
Brassica rapa;Raapzaad;18
Alnus incana;Witte els;18
Parietaria judaica;Klein glaskruid;18
Hyacinthoides non-scripta;Wilde hyacint;18
Aira praecox;Vroege haver;18
Epilobium roseum;Bleke basterdwederik;18
Brachypodium sylvaticum;Boskortsteel;18
Sherardia arvensis;Blauw walstro;18
Papaver somniferum;Slaapbol;17
Oenanthe aquatica;Watertorkruid;17
Acer negundo;Vederesdoorn;17
Ranunculus bulbosus;Knolboterbloem;17
Sorghum halepense;Wilde sorgo;17
Carex pendula;Hangende zegge;17
Hydrocotyle ranunculoides;Grote waternavel;17
Herniaria glabra;Kaal breukkruid;17
Montia minor;Klein bronkruid;16
